fraudLabel,score,uniqueId,amount
0.0,0.0005851388,CEzGhanKhucmWkvf,163.03
0.0,0.0004635409,viqDPHqgEoqVXMzd,147.66
0.0,0.0011871177,wJvJmEbIDJtZGpnS,769.55
0.0,0.018370202,ZMVOQSSfWPiqfufV,129.11
0.0,0.012046128,VsmUjzVPiMnNLKFV,218.06
0.0,0.00051680056,rsibzUkcinPHoNlG,48.09
0.0,0.0069855764,QWflrFgtBMbYkMSl,628.09
0.0,0.0013714364,RLecbAShGqwUDDCv,150.52
1.0,0.9972972,tsaLXRLZYHTEIbHl,20.78
1.0,0.9792016,mRkEoYCUkWXZWEfP,91.52
0.0,0.008329994,NZqCCrpmcfhUGzPD,210.83
0.0,0.0025712338,FLrVQHhbLDwQnDkJ,23.67
0.0,0.0025458315,lDxWlJkPhIWykVnY,227.46
1.0,0.9865371,dreKvjruniimDUGU,1224.11
0.0,0.0025847233,qzUuKPPbuzpspVnm,695.55
0.0,0.00073816086,uewqfBWckQzVkqnT,10.46
1.0,0.9450758,GGvITtMDeZoaVjwr,19.4
0.0,0.0015026841,QocasPSmIZMJeytj,147.43
1.0,0.9299899,aqAHWQJeOHnCHgql,1026.32
1.0,0.9970162,qiOUwpoEmjzNTKtN,1248.11
0.0,0.0023693251,XqppxldwgATIeHLB,126.99
0.0,0.0018082167,yeTflwnoeXebgHVq,91.45
0.0,0.0043488294,fXmTclhjrcwvOhcj,36.64
0.0,0.0013675308,JUNLSVMLDcpDlnJj,790.41
0.0,0.0035012485,iGMOwSTMFsEmzlwz,6.46
0.0,0.0015350064,bGApxKcQTqNjiwno,506.46
0.0,0.0009450327,nJqtUCHaChNsRAur,101.23
0.0,0.005170102,okYKZxerGamDGxjG,266.19
1.0,0.99701905,FVDInuFzubGweCrr,429.37
0.0,0.0041543553,FpXDZuYkcDRtuTMI,50.46
0.0,0.0033806586,EeQpQilBqyOvCFEI,231.16
1.0,0.995513,NybcvdXYePTsdLOz,1749.56
0.0,0.0019656238,yrdbitTrRegdLkwH,755.72
1.0,0.9987633,ZqiGJnHqivQNdfmK,3120.55
0.0,0.034851067,PJilGKpgHwePZByA,267.78
1.0,0.99677855,lzZZCIgrUcfmKgyh,16.39
1.0,0.9952519,VNpMFKFksEIQDkNR,1000.14
0.0,0.0013726713,vbjykRMpCYIoLxQm,177.77
0.0,0.01300204,XXpJEXxjkwioFrjr,53.76
0.0,0.001301943,mvOVLGHaPIaEgXXc,13.32
0.0,0.022928206,TNJucEYyptfjmwqz,126.48
0.0,0.00086410163,HuyrJkSmQyZCDRbO,211.47
0.0,0.001007453,sTfBEiNUkgiNSKIM,806.6
1.0,0.8899851,alHyKcVmdHaAUbmS,70.68
1.0,0.99320096,FGMobDdOdYkhbHmm,1278.53
1.0,0.98927045,HTIQDCZHqAMTsrij,1523.81
0.0,0.025487315,atSrOUVqsJombhmp,203.88
0.0,0.004361324,jKIgHfQHVvVhrrCC,275.81
1.0,0.99647933,SRVascTuoDaThQVt,17.67
1.0,0.99699426,anWSoVKgDFZGRVHr,287.65
0.0,0.0005676383,AcRGuzWAhFRJOrHo,248.82
0.0,0.002166267,rylMSJjFuCYraaYX,686.55
0.0,0.003627687,haEHUtAkyPRSiMOT,737.91
0.0,0.00046780874,RnXEQAzAPzNiwVVw,1.59
0.0,0.001212294,qcKuPAvtNmEGayUr,382.09
0.0,0.0007338221,qhVbHKdOgvxebloy,246.82
0.0,0.000808829,DPIRUlkSTiVhQASu,26.35
0.0,0.0024115064,itfcuMWjpOlGWnFo,1259.7
0.0,0.0022642144,ylkOffrTrUSIPmkX,3.7
0.0,0.00047272193,gpsSqeQqXyTfaMsL,26.23
0.0,0.00061486213,dyTbfFkZJIQZqwQc,94.55
